,PCA,tSNE
5665,197416521,32153804
2320,72132273,13054891
5932,103273572,33556525
1678,56789164,9599337
5663,121700202,32122675
9879,317399075,55132179
4785,75211036,27188409
9593,248467962,53787904
3089,98662578,17405910
7412,203853346,41520692
1013,45014801,5553736
4854,70862680,27369484
7289,94689991,41189663
7856,256403607,44036561
3406,81838551,19215710
7850,183375111,44097682
4779,196191895,26875315
8012,206503703,44548132
9872,252659815,55252492
4737,86488071,26486682
21130,383307319,118245578
7375,80549847,41548302
2015,63207506,11269322
3443,134216471,19428616
618,45716006,3486972
1065,54908514,6007650
3395,101036823,18893272
4037,72130602,22715038
3843,154658535,21419010
7130,234443191,39981428
10178,252308983,57308128
4966,148131527,27934070
12288,280387127,68491842
3666,97360439,20666922
7371,207724215,41860477
5581,246869303,31166916
1445,55667402,8162978
4825,180664839,27135114
12212,394664103,68636716
10592,196733063,58773382
3357,92918647,18800857
4605,137390247,26096538
6561,178338215,36617815
13595,87000807,76967978
4140,54382534,23409738
6676,122304327,37277654
6827,123946743,38562260
912,49310446,5029386
13848,301799559,77592738
6456,208331783,35841970
5201,166249559,29105080
3037,75091690,17208476
6401,199779703,35761490
6468,141787015,36124626
2463,56047858,13900153
2157,63309058,12205038
5572,103420247,31274193
15870,474511207,90274146
7334,169411287,40793254
1914,69133798,10727132
5439,86678199,30320128
8822,205201335,49090199
6196,176861639,34745031
19027,330709975,107088212
7241,102596391,40548142
1198,57408934,6680378
2411,53569810,13542028
3015,78745394,16905781
8422,129975975,46896373
5665,197416521,32153804
2320,72132273,13054891
5932,103273572,33556525
1678,56789164,9599337
5663,121700202,32122675
9879,317399075,55132179
4785,75211036,27188409
9593,248467962,53787904
3089,98662578,17405910
7412,203853346,41520692
1013,45014801,5553736
4854,70862680,27369484
7289,94689991,41189663
7856,256403607,44036561
3406,81838551,19215710
7850,183375111,44097682
4779,196191895,26875315
8012,206503703,44548132
9872,252659815,55252492
4737,86488071,26486682
21130,383307319,118245578
7375,80549847,41548302
2015,63207506,11269322
3443,134216471,19428616
618,45716006,3486972
1065,54908514,6007650
3395,101036823,18893272
4037,72130602,22715038
3843,154658535,21419010
7130,234443191,39981428
10178,252308983,57308128
4966,148131527,27934070
12288,280387127,68491842
3666,97360439,20666922
7371,207724215,41860477
5581,246869303,31166916
1445,55667402,8162978
4825,180664839,27135114
12212,394664103,68636716
10592,196733063,58773382
3357,92918647,18800857
4605,137390247,26096538
6561,178338215,36617815
13595,87000807,76967978
4140,54382534,23409738
6676,122304327,37277654
6827,123946743,38562260
912,49310446,5029386
13848,301799559,77592738
6456,208331783,35841970
5201,166249559,29105080
3037,75091690,17208476
6401,199779703,35761490
6468,141787015,36124626
2463,56047858,13900153
2157,63309058,12205038
5572,103420247,31274193
15870,474511207,90274146
7334,169411287,40793254
1914,69133798,10727132
5439,86678199,30320128
8822,205201335,49090199
6196,176861639,34745031
19027,330709975,107088212
7241,102596391,40548142
1198,57408934,6680378
2411,53569810,13542028
3015,78745394,16905781
8422,129975975,46896373
